name,title,description,datatype
identifier,Ідентифікатор регуляторного акту,"Номер нормативно-правового акту, яким був прийнятий регуляторний акт, та дата його прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом “-” (дефіс). Наприклад, регуляторний акт затверджений рішенням №719 від 29 травня 2014 року матиме ідентифікатор 719-2014-05-29. Регуляторні органи можуть використовувати також власні унікальні ідентифікатори.",string
regulatoryAgencyPrefLabel,Назва регуляторного органу,"Повна назва органу, що прийняв регуляторний акт, наприклад, Вінницька міська рада.",string
regulatoryAgencyIdentifier,Ідентифікатор регуляторного органу,"Номер регуляторного органу у Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДР). Наприклад, 01411082.
Якщо регуляторний орган не має номеру в ЄДР, вказати - null. У електронних таблицях (Microsoft Excel, LibreOffice Calc, Google Таблиці) колонка повинна мати текстовий формат.",string
title,Назва регуляторного акту,"Назва регуляторного акту, наприклад, Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг.",string
valid,Дата набрання чинності регуляторним актом,"Дата набрання чинності регуляторним актом у форматі ISO 8601 (рррр-мм-дд), наприклад, 2014-05-30.",date
accessURL,Посилання на регуляторний акт в мережі Інтернет (URL),"Посилання має починатися з http:// або https://, наприклад, https://www.example.gov.ua/example/.",anyURI
bibliographicCitation,Посилання на друковану публікацію регуляторного акту,"Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад, Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо посилання відсутнє, вказати - null.",string
legalActTitle,"Назва НПА, яким ухвалено регуляторний акт","Повна назва нормативно-правового акту, яким було ухвалено регуляторний акт, включаючи дату прийняття та номер. Наприклад, Рішення міської ради ""Про встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг розташованих на території м. Вінниці"" №1719 від 30.05.2014 року.",string
legalActІdentifier,"Номер НПА, яким ухвалено регуляторний акт","Номер нормативно-правового акту, яким ухвалено регуляторний акт (без знаку №). Наприклад, 1719.",string
legalActCreated,"Дата прийняття НПА, яким ухвалено регуляторний акт","Дата прийняття нормативно-правового акту, яким ухвалено регуляторний акт, у форматі ISO 8601 (рррр-мм-дд), наприклад, 2014-05-30.",date
basicEvalDate,Дата затвердження звіту про проведення базового відстеження,"(а) Якщо базове відстеження проведене, вказати дату затвердження звіту. (б) Якщо відстеження не проведене - дату останнього строку здійснення відстеження, відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад, 2016-09-15.",date
basicEvalAccessURL,Посилання на звіт базового відстеження (URL),"(а) Якщо базове відстеження проведене, вказати посилання на звіт в мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати - не застосовується. Посилання має починатися з http:// або https://. Наприклад, https://www.example.gov.ua/report331-2/. Якщо відстеження проведене, але публікація відсутня, вказати - null.",anyURI
basicEvalBibliographicCitation,Посилання на друковану публікацію звіту базового відстеження,"(а) Якщо базове відстеження проведене, вказати посилання на публікацію звіту в друкованих виданнях. (б) Якщо відстеження не проведене, вказати - не застосовується. Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад, Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо відстеження проведене, але публікація відсутня, вказати - null.",string
repeatEvalDate,Дата затвердження звіту або дата останнього строку здійснення повторного відстеження,"(а) Якщо повторне відстеження проведене, вказати дату затвердження звіту. (б) Якщо відстеження не проведене - дату останнього строку здійснення відстеження, відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад, 2016-09-15.",date
repeatEvalAccessURL,Посилання на звіт за результатами повторного відстеження (URL),"(а) Якщо повторне відстеження проведене, вказати посилання на звіт в мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати - не застосовується. Посилання має починатися з http:// або https://. Наприклад, https://www.example.gov.ua/report331-2/. Якщо відстеження проведене, але публікація відсутня, вказати - null.",anyURI
repeatEvalBibliographicCitation,Посилання на друковану публікацію звіту за результатами повторного відстеження,"(а) Якщо повторне відстеження проведене, вказати посилання на публікацію звіту в друкованих виданнях. (б) Якщо відстеження не проведене, вказати - не застосовується. Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад, Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо відстеження проведене, але публікація відсутня, вказати - null.",string
periodEvalDate,Дати затвердження звітів або дата останнього строку проведення періодичного відстеження,"Якщо періодичні відстеження проведені, вказати дату затвердження звітів, якщо відстеження не ще проведене - дату останнього строку здійснення відстеження, відповідно до законодавства. Дата зазначається у форматі ISO 8601 (рррр-мм-дд). Наприклад, 2016-09-15. Якщо було проведено декілька відстежень, необхідно розділити дати комою.",date
periodEvalAccessURL,Посилання на звіти за результатами періодичного відстеження (URL),"(а) Якщо відстеження проведені, вказати посилання на звіт в мережі Інтернет (URL). (б) Якщо відстеження не проведене, вказати - не застосовується. Посилання має починатися з http:// або https://. Наприклад, https://www.example.gov.ua/report331-2/. У випадку кількох посилань, необхідно розділити їх комою. Якщо відстеження проведене, але публікація відсутня, вказати - null.",anyURI
periodEvalBibliographicCitation,Посилання на друковану публікацію звітів за результатами періодичного відстеження,"(а) Якщо періодичні відстеження були проведені, вказати посилання на публікацію звітів у друкованих виданнях. (б) Якщо відстеження не проведені, вказати - не застосовується. Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад, Вісник Поділля. 2014. Вип. 12/2. С. 2. У випадку кількох посилань, необхідно розділити їх комою. Якщо відстеження проведене, але публікація відсутня, вказати - null.",string