Назва колонки,Умова валідації,"Спосіб валідації (регулярний вираз, словник)"
identifier,Комірка має бути заповненою.,^.+$
regulatoryAgencyPrefLabel,Комірка має бути заповненою.,^.+$
regulatoryAgencyID,Комірка має містити номер юридичної особи у ЄДР (8 цифр) або null.,^(?:\\d{8}|null)$
title,Комірка має бути заповненою.,^.+$
valid,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
accessURL,Посилання має розпочинатися з http:// або https:// (стандарт RFC 3986).,^https?:\\/\\/.+$
bibliographicCitation,Комірка має бути заповненою.,^.+$
legalActTitle,Комірка має бути заповненою.,^.+$
legalActCreated,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
legalActІdentifier,Комірка має бути заповненою.,^.+$
basicEvalDate,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
basicEvalAccessURL,"Посилання має розпочинатися з ""http://"" або ""https://"" (стандарт RFC 3986) або має бути вказано ""не застосовується"".",^(?:https?:\\/\\/.+|не застосовується)$
basicEvalBibliographicCitation,Комірка має бути заповненою.,^.+$
repeatEvalDate,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
repeatEvalAccessURL,"Посилання має розпочинатися з ""http://"" або ""https://"" (стандарт RFC 3986) або має бути вказано ""не застосовується"".",^(?:https?:\\/\\/.+|не застосовується)$
repeatEvalBibliographicCitation,Комірка має бути заповненою.,^.+$
periodEvalDate,Значення відповідає формату ISO 8601 (рррр-мм-дд).,^\\d{4}-(?:[0][1-9]|1[0-2])-(?:0[1-9]|[1-2]\\d|3[01])$
periodEvalAccessURL,"Посилання має розпочинатися з ""http://"" або ""https://"" (стандарт RFC 3986) або має бути вказано ""не застосовується"".",^(?:https?:\\/\\/.+|не застосовується)$
periodEvalBibliographicCitation,Комірка має бути заповненою.,^.+$